Name,Birth,Death,Nationality,Dates in Paris,address,Schools Attended,Exhibitions,Contacts,Government Grant,Notes,Tags,Image
"Lagos, Alberto",1885,1960,Argentina,ca. 1910-1924,"20, boulevard du Montparnasse",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",Rodin,,"sculptor; realistic style; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne, Argentina, 1924 Exposition d'Art Américain-Latin",
"Lam, Wifredo ",1902,1982,Cuba,1938-1941,,,1939 (Jun. 30-Jul. 14) Wifredo Lam Peintures Galerie Pierre,"Picasso, Surrealism",,,Cuba,
"Larrai, Hernan",,,Chile,,,,,,,,Chile,
"Larrain, Herman",1899,1994,Chile,,,,"1928, 1931 Salon des Artistes Français",,,,"Chile, Salon des Artistes Français",
"Lazo, Agustín ",1897,1971,Mexico,1925; 1927-1931 (returns briefly to Mexico in 1929),rue Vercingétorix,Académie de la Grand Chaumière,"1930 (Apr. 11-24) Première exposition du groupe latino-americain de Paris, Galerie Zak (Le petit valet, Mére avec son enfant<br /> 1940 (Jan.-Feb) Exposición Internacional del Surrealismo, Galería de Arte mexicano, Mexico City","De Chirico, Max Ernst",,Shared a studio with Alfonso Michel in Montparnasse,"Mexico, 1930 Exposition du Groupe Latino-Americain, Galerie Zak",
"Lefebvre, Renée",1910,1996,Brazil,,,,1931 Salon des Artistes Français,,,,"Brazil, female, Salon des Artistes Français",
"Leguizamon Pondal, Gonzalo",1890,1994,Argentina,"ca. 1924, 1937?","15, avenue Elysée-Reclus; 5, rue de Bagneux",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (paintings and decorative art projects with Gelly Cantilo)<br /> 1928 Salon d'Automne<br /> 1928, 1929 (Pachacamac, déesse incaique, stone statue, Magnolia, marble bust), 1930 (Simi-29, marble head (illustrated p. 213), L’Aube, marble statuette)) Salon des Artistes Français<br /> 1931 Société Nationale des Beaux-Arts<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne (medallion the Argentine Pavilion)",,,"sculptor; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Argentina, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Artistes Français, Société Nationale des Beaux Arts, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Letard-Morlinghem, Mme ",,,,,,,1926 Société Nationale des Beaux-Arts,,,,"female, Société Nationale des Beaux Arts ",
"Letelier, Jorge",1887,1966,Chile,c. 1928,,,,,yes,Grupo de Montparnasse,Chile,
"Lopès de Almeida, Margarida-Guida",,,Brazil,ca. 1928,"81, rue La Boétie; 8 , Avenue de Friedland (1930)","Jean Camus, Paul Landowski","1928 (Joueur de biniou, statue bronze, Portrait de Mlle. M.F.), 1929 (Allégresse, low relief bronze, Saint Sebastian, platre sculture), 1930 (Anima Mea, lost wax, bronze statue, Saint Sebastian, stone statue) Salon des Artistes Français",,,sculptor,"Brazil, female, Salon des Artistes Français",
"López Rodezno, Arturo",1908,1975,Honduras,1938-1939,,Académie Julian,,,,studied mural painting in Paris,"Honduras, Académie Julian",
"Lynch, Alberto",1855,1931,Peru,,"76, rue de la Faisanderie (XVIe)","Académie de Beaux-Arts with Jules Nöel, Henri Lehmann, Gabriel Ferrier (19th c.)","1890s on at salons<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924, 1930, 1931 Salon des Artistes Français",,,"19th c. society painter; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Peru, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français",
"Madruga, Manoël ",1882,1951,Brazil,ca. 1924-1940,"15, bis rue des Chambards, Bois-Colombes (Seine)",M. Marcel Baschet,"1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924, 1929 (Religieux), 1930 (Lecture sainte) Société des Artistes Français ",,,,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français",
"Majorel, Victoria",,,Argentina,,,,1931 Salon des Artistes Français,,,,"Argentina, female, Salon des Artistes Français",
"Malfatti, Anita ",1889,1964,Brazil,1914; 1923-1928,"1, bis rue du Maine, (XIVe); 143, rue d'Alésia XIVe (1926); Villa Seurat 19; 101, rue de la Tombe-Issoire, XIVe (1928)",attended open art schools; Maurice Denis," 1923 Inaugural exhibition at the Maison de l'Amérique Latine (Femme aux Fruits later known as Tropical)<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (Etudiante russe, L'Américaine, A ventania)<br /> 1924 Salon d'Automne (Canal de Venezia, Interior de igreja)<br /> 1925 Salon d'Atomne (Tropicale)<br /> 1926 Salon des Independentes (Interior de Mônaco, Dama de azul)<br /> 1926 Salon de France, Musée Galliera (Figure, acquired by the French government)<br /> 1926 (Nov. 20-Dec. 5) Exposition (Peintures, Aquarelles, Dessins) d'Annita Malfatti à la Galerie André<br /> 1927 Salon des Independentes (Dolly, Limões)<br /> 1927 Salon des Tuileries (Portrait, Natureza-morta), 1927 Salon d'Automne (Villa d'Este, Femme de Pará)<br /> 1928 Salon des Independentes","Léger, Matisse, Tsugouharu Foujita ",Pensionato Artístico do Estado de São Paulo ,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; sells Figure in 1926 for 2000f","Brazil, female, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries",
"Mané, Pablo",1880,1971,Uruguay,"1907, 1923-1930","15, rue Hégésippe-Moreau (XVIIIe)",Ecole des Beaux-Arts (with Marqueste 1907),"1912, 1913, 1929 Salon d'Automne<br /> 1919 Société Nationale de Beaux Arts<br /> 1919 Société des Artistes Françaises<br /> 1923, 1924, 1925, 1927, 1928, 1930 Salon des Tuileries<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1930 (Dec.) Huit artistes du Rio de la Plata, Galerie Castelucho-Diana<br /> 1934 receives Legion of Honor<br /> 1937 Salon d'Automne",,,sculptor; listed in Dictionnaire biographique,"Uruguay, Salon d'Automne, 1924 Exposition d'Art Américain-Latin, Salon des Tuileries, Legion of Honor",
"Mansilla, Manuel",,,Cuba,,,,,,,,Cuba,
"Mantilla, Manuel ",1892,,Cuba,,,,,,,,Cuba,
"Manuel García, Victor ",1897,1969,Cuba,1925-26; 1929,,,,,,,Cuba,
"Maribona, Armando",1894,1964,Cuba,"1921(?)-1926, 1929-1930 ",Hôtel du Maine,Académie de la Grand Chaumière; Académie Colarossi,"1925 (Oct.) Cercle de l'Amérique Latine, blvd de la Madeliene (with Jímenez Armengol)",,,paintings and caricature,"Cuba, Académie Colarossi",
"Martin, Benito Quinquela",1890,1977,Argentina,Nov. 1925-June 1926,,,"1926 (Mar. 17-Apr. 11) Galerie Charpentier<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)",,,,Argentina,
Martínez Uda. Elvira,,,Cuba,,,,,,,,"Cuba, female",
"Martinez Zambrano, Efrain ",1898,1956,Colombia,c. 1930,"6, rue due Moulin-vert",Fernando Alvarez Sotomayor,1930 (Apr. 30-Jun. 30) Salon de la société des Artistes Français (Nonnes chantant),,,,"Colombia, Salon des Artistes Français",
"Martins, Maria",1894,1973,Brazil,1927-1928,,Jacques Lipchitz,,"Breton, Duchamp, and Mondrian",,not active as an artist while in Paris before WWII,"female, Brazil",
"Massaguer, W. Conrado",1889,1956,Cuba,ca. 1929,,,1929 exhibition?,,,,Cuba,
"Matos, Antonia",1904,1994,Guatemala,1928-,"15, avenue du President Wilson",,"1928 (Paysage guatemalien), 1929 (Portrait de mon père (illustrated in catalogue p. 155) Société des Artistes Français<br /> 1930  (paysage tropical, Portrait), 1931 Salon des Indépendants<br /> 1931 Société Nationale des Beaux-Arts<br /> exhibition 1933?",,,,"Guatemala, female, Salon des Indépendants, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Matta Echauren, Roberto ",1912,2002,Chile,1933-1939,"14, rue de Bernard-Palissy, VIe",,"1938 (Jan.-Feb.) Exposition Internationale du Surréalisme, Galerie Beaux-arts, 140, rue du Faubourg Saint-Honoré, (four drawings: Scenario no. 1: Succion panique du soleil (1937), Scenario no. 2: Pulsions infusoires du soleil (1937), Scenario no. 3: Le sperme du temps collé aux déchirures du jour (1937), Scenario no. 4: Elasticité des intervalles (1937))--also dressed a mannequin<br /> 1939 Salon des Indépendants (Pneumatique optique, Morphologie psychologique)<br /> 1940 (Jan.-Feb) Exposición Internacional del Surrealismo, Galería de Arte mexicano, Mexico","Le Corbusier, René Magritte, Salvador Dalí and García Lorca and introduce him to André Breton",no,"1938 illustrates Chants de Maldoror by Lautréamont; 1937 Exposition internationale des arts et techniques dans la vie moderne, works on the Spanish Pavilion; ",Chile,
"Mazilier, Carmen",,,Argentina,ca. 1928,"5, rue de Bagneux",,"1924, 1928 (Enfant au biniou, statue patre, Gaucho a la Pampa, statue plâtre (illustrated in catalogue p. 200), 1930 Salon des Artistes Français<br /> 1926, 1931 Société Nationales des Beaux-Arts",,,sculptor,"Argentina, female, Salon des Artistes Français",
"Medina, Santiago",,,Chile,ca. 1926,"10, rue des Beaux-Arts",,1925 Société des Artistes Français<br /> 1926 Société Nationale des Beaux-Arts”,,,,"Chile, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Merediz, José A. ",1880,1967,Argentina,ca. 1923-1928 at least,,,1923 Inaugural exhibition at the Maison de l'Amérique Latine,,,,Argentina,
"Mérida, Carlos ",1891,1984,Guatemala,1912-1914; 1927-1929,,"Kees van Dongen, Anglada Camarassa (1912-1914)","1914 Salon des Indépendants<br /> 1927 (Dec.) Aquarelles/Peintures, Galerie de Quatre Chemins, preface by André Salmon<br /> 1930  (Apr. 11-24 Première exposition du groupe latino-americain de Paris, Galerie Zak (not in Paris at the time)","Modigliani, Picasso, Klee, Miro",yes (1927-1929),,"Guatemala, 1930 Exposition du Groupe Latino-Americain, Salon des Indépendants, Galerie Zak",
"Merino, Blanca",1893,1973,Chile,1929,"135, Boulevard du Montparnasse",,"1929 (Désenchantée, silver statue), 1930 Société des Artistes Français<br /> 1931 Société Nationale des Beaux-Arts",,,sculptor,"Chile, female, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Michel, Alfonso)",1897,1957,Mexico,1921; 1923-1926; 1928-1929,,"Lucien Simon, Vassili Ivanovitch Choukahieff",,,,Shared a studio with Lazo in Montparnasse,Mexico,
"Michel, Pierre",,,Mexico,1929,"68, Boulevard de Courcelles",,"1929 (Printemps (illustrated in catalogue p. 174), Neige (vallée de l’Ubaye)), 1930 Société des Artistes Français ",,,,"Salon des Artistes Français, Mexico",
"Michelena, Barnabé",1888,1963,Uruguay,1924,,,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br />  Galerie Zak",,,"sculptor; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Uruguay, 1924 Exposition d'Art Américain-Latin, Galerie Zak",
"Modotti, Tina",1896,1942,Mexico,Not actually in Paris,,,Photos in Bifur magazine (may have been sent),,,,"Mexico, female",
"Mongay-Munoz, Dina ",1910,,Argentina,1926-,,"Académie Julian, Roger Laurens, Fernand Sabatté, Madeleine Cotty","1927, 1928 (Sacre de Printemps), 1931 Salon des Artistes Français<br /> 4 prizes while in Paris",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930","Argentina, Salon des Artistes Français, Académie Julian",
"Montalvo de Matheu, Pierre  ",1900,1965,El Salvador,1924,"18, avenue Kléber (XVIe)",,"1923 Maison de L'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925  (May 2-15) Galeries Georges Petit",,,,"El Salvador, 1924 Exposition d'Art Américain-Latin",
"Montano, Manuel F. ",,,Bolivia,,,,1931 Société Nationale des Beaux-Arts,,,,"Bolivia, Société Nationale des Beaux Arts ",
"Montenegro, Roberto ",1886,1968,Mexico,1906-1910; 1912-1914,,Académie Colarossi with Anglada Camarasa,,,,,"Mexico, Académie Colarossi",
"Montes de Oca, Confucio",1896,1925,Honduras,1919-1921; 1924,"70, avenue d'Italie (XIIIe)",self-taught,"1921 Prize for El forjador<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> (Nu, Vielle rue de Rome, Dans la campagne romaine)",,yes (cancelled after one year),pretty traditional artist; traveled to Italy 1921-1925,"Honduras, 1924 Exposition d'Art Américain-Latin, self-taught",
"Mori, Camilo",1896,1973,Chile,1920-1922; 1928-1931,"2, rue des Fossès-Saint-Jacques (1921); 8, cité d'Hauteville (1927); 19, rue Daguerre, 14e (1929)",,"1921, 1927, 1929, 1930 Salon d’Automne<br /> 1930, 1931 Salon des Indépendants ",Juan Gris,yes,Grupo de Montparnasse,"Chile, Salon d'Automne, Salon des Indépendants",
"Mourão, Noêmia",1912,1992,Brazil,ca. 1937,,,,,,,"Brazil, female",
"Mugnaini, Tullio",1895,1975,Brazil,1924,"11, rue Boissonnade (XIVe)",student of Jean-Paul Laurens,"1923, 1924, 1925 Salon des Artistes Français<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1924 Société Nationale des Beaux-Arts (Vieilles maisons (Martigues))<br /> 1925 (Nov. ) individual exhibition<br /> 1927 Société des artistes Français (Vieux Cloître (Pays Basque) 2 views)<br /> 1928 Salon des Indépendants",,yes,,"Brazil, 1924 Exposition d'Art Américain-Latin, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Murillo, Gerardo (Dr. Atl)",1875,1964,Mexico,1911-1914 (before WWI),,,"1914 (May 1-15) Exposition Atl: Les Montagnes du Mexique Galerie Joubert et Richebourg, 19, place de la Madeleine",,,,Mexico,
"Musso, J. Ricardo",1897,?,Argentina,?-1931,,,"1927, 1929 Salon d'Automne<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne, Argentine Pavilion",,,,"Argentina, Salon d'Automne, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Narváez, Francisco",1905,1982,Venezuela,1928-1931,"55, rue de Docteur Duran, Arcueil",Académie Julian(Oct. 1928-Jun. 1929); Atelier Paul Landowski; assisted in François Pompon's studio,"1931 (or 1930?) Salon des Artistes Français (Vendedora de Pescado sculpture)<br /> 1931 Salon des Indépendants (Portrait de jeune fille, L'école) ","Paul Landowski, Bernard, François Pompon; studied the work of Rodin, Aristide Maillol, Emile-Antoine Bourdelle, Mateo Hernández, Charles Despiau and Pablo Gargallo ",,sculptor,"Venezuela, Salon des Artistes Français, Académie Julian",
"Negri, Nina",1909,1981,Argentina,,,"Académie André Lhote, Fernand Leger, Gromaire, Atelier 17","1937 Galerie Quatre-Chemin with Atelier 17, Salon des Indépendants",,,,"Argentina, female, Salon des Indépendants, Académie André Lhote",
"Nery, Ismael ",1900,1934,Brazil,1921; 1927 (few months),,Académie Julian ,,"Surrealists, Chagall",,,"Académie Julian, Brazil",
"Noguiera, Andrés",,,Cuba,1928 (few months),,,"1928 (Jan. 15) Exposición de Pinturas, Esculturas y Grabados de Andrés Nogueira, Domingo Ravenet y Alberto Sabas Asociación Paris-Amérique-Latine, París (sponsored by the Ambassador of Cuba in France, Carlos Manuel de Céspedes, introduction by Ramón Gómez de la Serna) ",,,"older artist, wife from Spain",Cuba,
"Olatello, Julia",,,,ca. 1923,,,1923 Société Nationale des Beaux-Arts,,,,"female, Société Nationale des Beaux Arts ",
"Olazo, Francisco ",1904,1948,Peru,ca. 1927,,,1927 Cercle Paris-Amérique Latine (gouaches and watercolor landscapes) with Domingo Pantigoso,,,,Peru,
"Orozco, Jose Clemente ",1883,1949,Mexico,"not in Paris for 1925 or 1929 exhibition, 1932 summer",,,"1925 (Dec.) Galerie Bernheim-Jeune (individual exhibition of 43 pencil drawings and watercolors)<br /> 1929 Fermé la Nuit, teahouse, gallery and bookshop Horrores series",,,,"Mexico, Galerie Bernheim-Jeune",
"Ortiz de Zarate, Julio ",1885,1946,Chile,"1919, 1922, 1928",,,1930 Salon des Tuileries,,yes 1922,"Grupo de Montparnasse; mostly flower paintings; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Chile, Salon des Tuileries",
"Ortiz de Zarate, Manuel ",1887,1946,Chile,1904-1946,"76, rue Olivier-de-Serres (1912); 8, rue de la Grande-Chaumière; ",École des Beaux-Arts ,"1912 Salon des Indépendants<br /> 1916 (June 14-30) Galerie des Indépendents (Chéron et Cie) with Derain, Hayden, Kremegne, Léger, Lhote, Manolo, Matisse, Metzinger, Mietchaninoff, Picasso<br /> 1916 (Nov. 19-Dec. 5) Lyre et palette with Kisling, Modigliani, Picasso, Art Négre (Gee 239)<br />  1919 (Apr.) Galerie Branger with Morgan Russel, Zadkine<br /> 1919 (Feb. 24-Mar. 8) Galerie Berthe Weill, with Morgan Russell and René Dury<br /> 1921 (Apr. 8) Quarante sept artistes exposent au Café du Parnasse<br /> 1922 (Feb. 1) group exhibition at La Rotonde<br /> 1923 (Jan. 19-Feb. 1) group exhibition at la Licorne organized by the Revue Montparnasse<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925 (Mar 30-Apr. 10) Bernheim-Jeune with Van Dongen and Birger Hoog<br /> 1927 (Feb. 14-25) exhibition at Bernheim-Jeune<br /> 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1937, 1938, 1940, 1944  Salon d'automne<br /> 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1932, 1933, 1935, 1936, 1938, 1939 Salon de Tuileries",Modigliani ,,"sells Nature Morte in 1926 for 1400f; listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Chile, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Tuileries, Galerie Bernheim-Jeune",
"Otero, Carlos",1886,1977,Venezuela,1912-1922; 1923-Dec. 1924; 1936,"68, rue de Gergovie (XIVe)","Ecole des Beaux Arts with Cormont, Colin, Flamant","1913 Salon des Artistes Français (Quartier Latin)<br /> 1916 Salon ? (La Sopa de los Refugiados de Reims)<br /> 1920, 1921, 1923 (Paysage, Paysage, Carmen Flores, Chanteuse espagnole, Printemps à Fiesole) Salon des Indépendants<br /> 1923 Inaugural exhibition at the Maison de l'Amérique Latine<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> (L'heure du thé, La ville close, Barques de pêche, Maison paysanne, Bateaux thonniers)",,,,Venezuela,
"Pacheco Ferraz, Antonio (or Jerraz)",1904,2006,Brazil,1929,"57, rue de Seine",Emile Renard,"1929 Société des Artistes Français (Une rue à Concarneau (illustrated in catalogue p. 72), Vieille maison et chapelle, Douarnenez)",,,,"Brazil, Salon des Artistes Français",
"Pantigoso, Manuel Domingo ",1901,2001,Peru,1927,,,1927 (Nov. 20-Dec. 3) Cercle Paris-Amérique Latine (gouaches and watercolor landscapes) with Francisco Olazo,,,,Peru,
"Pareja, Miguel Angel ",1908,1984,Uruguay,1929 or 1937-1938 (dates conflict),,"Académie Ranson, Roger Bissière ",1924 Salon des Artistes Français,,,,"Salon des Artistes Français, Uruguay, Académie Ranson",
"Pedroza, Olga Mary",1891,1963,Brazil,ca. 1928,"4, rue de Messine",Fernand Sabatté,"1930 (Rêverie), 1931 Société des Artistes Français(exhibited there for 9 seasons)<br /> 1931 Salon des Femmes Artistes (Petit Maman prize) 1931 Salon d'Automne (Petit Maman prize)<br /> Galerie Durand-Ruel ?  ",,,,"Brazil, female, Salon d'Automne, Salon des Artistes Français",
"Pedroza, Raul",1892,1962,Brazil,,,Académie Julian (Nov. 1929-Mar. 1930),,,,,"Brazil, Académie Julian",
"Pelaez, Amelia ",1897,1968,Cuba,1927-1934,"36, avenue Junot XVIIIe (Montmartre)",Académie de la Grand Chaumière (1928); École nationale supérieure des Beaux-Arts (painting); L’Ecole du Louvre (Art History); Leger's Académie Contemporaine (1931);  Alexandra Exter-composition and color harmony (summer 1931),1933 (Apr. 28-May 12) Galerie Zak<br /> 1933 Salon des Tuileries<br /> 1934  Exposition de Livres Manuscrits Galerie Myrbor (illustrated Sept Poémes by Leon Paul Fargue)<br /> 1934 XI Salon des Indépendents,,yes-to study foreign museums (1927-1931),,"Cuba, female, Salon des Tuileries, Galerie Zak",
"Pena,  Antonio ",1894,1947,Uruguay,,,Bourdelle,1926 Salon d'Automne<br /> 1937 Exposition internationale des arts et techniques dans la vie moderne,,,"sculptor, medals","Uruguay, Salon d'Automne, 1937 Exposition Internationale des Arts et Techniques dans la Vie Moderne",
"Pereira da Silva, Helena",1895,1966,Brazil,1929-1930,"8 or 36, rue Severo","Laurent,  Jean-Paul Laurens","1929 (Vieille rue de Martigues), 1930 (Faiences et fruits (illustrated in catalogue p. 119), Amours et fleurs), 1931 Société des Artistes Français ",,,,"Brazil, female, Salon des Artistes Français",
"Pereyra, Diomedes de ",1897,1976,Bolivia,1920-,"26, avenue du Bois-de-Boulogne (XVIe)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera",,,mostly known as a novelist,"Bolivia, 1924 Exposition d'Art Américain-Latin",
"Perez-Bosch, Lila (or Bosch-Alvear, Lila)",,,Argentina,ca. 1928-1930,"17, avenue Miormesnil VIIIe; 112, faubourg Saint-Honoré",,"1928, 1929, 1930 Salon des Indépendants<br /> 1928 Salon d'Automne<br /> 1936 Salon des Tuileries<br /> Exposition des Artistes Argentins Galerie Diam",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930; daughter of minister of Republic of Argentina in Paris; Galerie Bernheim Jeune and Galerie Georges Petit sold her work","Argentina, female, Salon des Indépendants, Salon d'Automne, Salon des Tuileries",
"Perez-Sucre, Fernando",,,Argentina,ca. 1927,"17, rue de Miromesnil",,"1927 Salon d'Automne (Maharadjah dans son haren, Un bar en l'an 2000, stage design)",,,decorative arts: stage design,"Argentina, Salon d'Automne",
"Perotti, José ",1898,1956,Chile,1921-1923,,"Académie de la Grand Chaumière, Académie Colarossi",,Antoine Bourdelle ,yes,Grupo de Montparnasse; sculptor,"Chile, Académie Colarossi",
"Peseja, Albert",,,,ca. 1923,,,1923 Salon des Artistes Français,,,,Salon des Artistes Français,
"Petit, Henriette",1894,1983,Chile,1920-1921; 1925-1941,,,,Antoine Bourdelle,,Grupo de Montparnasse; daughter of French doctor,"Chile, female",
"Pettoruti, Emilio ",1892,1971,Argentina,1924 (Jan. -Jun.),rue Vendôme,,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera (L'institutrice, Etude du tableau, Musiciens ambulants)<br /> 1926 (Apr.) Exposition d'art argentin, Jeu de Paume (organized by the Universidad de La Plata)","Juan Gris, Mateo Hernández, Celso Lagar, Manuel Angeles Ortiz, Zadkine, Alfredo Bigatti, Curatella Manés",yes to Italy,"didn't spend much time in Paris; Leonce Rosenberg offered him an exhibition and to be his agent, but he didn't return to Europe","Argentina, 1924 Exposition d'Art Américain-Latin",
"Pirovano, Ignacio ",1909,,Argentina,1909-1929,,Académie André Lhote (1928),,,,didn't exhibit in Paris,"Argentina, Académie André Lhote",
"Pissarro, Victor",1891,1937,Argentina,ca. 1925 (various trips to France); 1928-1930,,,,,,Impressionist style,Argentina,
"Pizano, Roberto ",1896,1929,Columbia,1924-1927,"5, rue Henri-Martin (XVIe)",Académie Julian (Sept. 1926-Nov. 1927),"1925 (Portuguesa<br /> Vista de Paris), 1926 Salon des Indépendants<br /> 1925 (Retrato de la sañora de Pizano), 1926 (Maternidad, won prize), 1927 (Autorretrato con Juan), 1928 Société Nationale des Beaux-Arts<br /> 1927 International Exhibition in Bordeaux (Maternidad)",,,,"Columbia, Salon des Indépendants, Société Nationale des Beaux Arts, Académie Julian",
"Plaza-Ferrand, Marcelle ",,,"Chile (born in Algeria, married to Chilean)",ca. 1922-1939,"14, rue Hégésippe-Moreau (1922); 19, rue Gustave-lambert, Garches (Seine-et-Oise) (1929)",,"1922, 1923, 1924, 1925, 1926, 1928, 1929, 1930, 1931, 1933, 1934, 1935, 1937, 1938, 1939 Salon des Indépendants<br /> 1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1925, 1929, 1937 Salon d'Automne<br /> 1930 Société Nationale des Beaux Arts",,,,"Chile, female, Salon des Indépendants, Salon d'Automne, Société Nationale des Beaux Arts ",
"Plaza-Ferrand, Marcial",1876,1948,Chile,ca. 1924-1939,"14, rue Hégésippe-Moreau (1924); 19, rue Gustave-lambert, Garches (Seine-et-Oise) (1929)",,"1924 (Mar. 15-Apr. 15) Exposition d'Art Américain-Latin, Musée Galliera<br /> 1926? (Feb 1-Mar 1) 35, rue de la Boétie<br /> 1925, 1926, 1928, 1929, 1930, 1932, 1934, 1935, 1937, 1938, 1939 Salon des Indépendants<br /> 1926, 1928 Société Nationale des Beaux-Arts<br /> 1927  (Repos), 1931 Salon des Artistes Français<br /> 1929 Salon d'Automne<br /> 1929 Salon National des Beaux Arts ",,,"listed in Dictionnaire Biographique des Artistes Contemporains, 1910-1930 ","Chile, 1924 Exposition d'Art Américain-Latin, Salon d'Automne, Salon des Indépendants, Salon des Artistes Français, Société Nationale des Beaux Arts ",
"Pogolotti, Marcelo",1902,1988,Cuba,1924; 1928; 1932-1939 (1929-1932 in Italy),Hôtel Pax,Sorbonne (1930s),"1931 Galerie Royale de París<br /> 1932 Galerie Jeune (Jeanne Castell or Bernheim-Jeune?) Europe-futurist exhibition (Could this be Enrico Prampolini et les aero peintres futuristes italiens, Galerie de la Renaissance?)<br /> 1932 11 pintores modernos italianos Galerie Lazer-Normand (El hombre mecanico, Los campos magneticos)<br /> 1933 Salon de la Association des Ecrivains et Artistes Révolutionnaires (A.E.A.R)<br /> 1934 (Jan. 27-Feb. 18) Exposition des artistes révolutionnaires (A.E.A.R.) (Paisaje cubano, El regalo a la querida o Siglo XX)<br /> 1935 (May 16-Jun. 16) 2eme exposition organisée par la Section des Arts Plastiques de la A.E.A.R., Maison de la Culture, (El plan, El muelle, Diez siglos)<br /> 1938 (Feb-Mar.) Galerie Carrefour<br /> 1939 (Apr.) Salon Populiste Galerie Royale de Paris, group show",,,,"Cuba, Galerie Bernheim-Jeune",
"Portinari, Cândido ",1903,1962,Brazil,1929-1931,"hotel, rue du Dragon; hotel rue Drouot; hotel avenue du Maine",,,,Premio de Viagem [travel fellowship] ,travels to Italy and Spain; paints very little in Europe; exhibits in Paris in 1946,Brazil,
"Pouget Alfaro, Mlle",,,,,,,1928 Salon des Artistes Français,,,,"female, Salon des Artistes Français",
"Pozzo, Héctor",,,Argentina,,,,,,,,Argentina,
"Prevosti, Carlos ",1896,1955,Uruguay,ca. 1928,,"Fernand Leger, Académie André Lhote, Le Fauconnier, Falory, Bissière, Souvaje (architect); Art and Design School in Paris (official title not known) (enamel); theatre design school Medgyes",,,yes (Consejo Nacional de Administración),,"Académie André Lhote, Uruguay",
"Puyó, Inés ",1906,1996,Chile,ca. 1928,,"Henry de Warroquier, Othon Friez, Académie André Lhote ",,,yes,Grupo de Montparnasse ?,"Chile, female, Académie André Lhote",
"Quezada, Armando",1906,?,Mexico,?-1933,,,1931 Société Nationale des Beaux-Arts,,,sculptor,"Mexico, Société Nationale des Beaux Arts ",
